TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating,VisitModeName,ContinentId,RegionId,CountryId,CityId,UserCityName,UserCountry,UserRegion,UserContinent,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,AttractionCityName,AttractionCountryId,AttractionCountry,AttractionType,user_total_visits,user_avg_rating,attraction_total_visits,attraction_avg_rating
106502,40536,2017,2,2,737,4,Couples,5,21,163,8368.0,Harrow,United Kingdom,Western Europe,Europe,1,76,Tanah Lot Temple,"Kecamatan Kediri, Kabupaten Tabanan, Beraban 82121 Indonesia",Douala,1,Cameroon,Religious Sites,2,4.5,3352,4.19480906921241
12789,76715,2016,3,2,640,3,Couples,4,15,109,4710.0,mission beach australia,Australia,Australia,Australia & Oceania,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,5,3.6,13198,4.267085922109411
15235,16787,2014,10,3,640,5,Family,5,21,163,426.0,London,United Kingdom,Western Europe,Europe,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,8,4.5,13198,4.267085922109411
104881,1698,2019,6,5,737,5,Solo,3,12,89,2623.0,Dubai,United Arab Emirates,Middle East,Asia,1,76,Tanah Lot Temple,"Kecamatan Kediri, Kabupaten Tabanan, Beraban 82121 Indonesia",Douala,1,Cameroon,Religious Sites,3,4.0,3352,4.19480906921241
10274,22489,2016,10,2,640,5,Couples,2,8,51,1953.0,Sun Lakes,United States,Northern America,America,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,3,5.0,13198,4.267085922109411
10822,13761,2016,9,4,640,5,Friends,2,8,51,279.0,San Jose,United States,Northern America,America,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,4,4.25,13198,4.267085922109411
33604,56972,2016,12,2,673,4,Couples,5,17,135,,,Switzerland,Central Europe,Europe,1,13,Seminyak Beach,Seminyak,Douala,1,Cameroon,Beaches,3,4.666666666666667,2914,3.800617707618394
14858,7990,2015,6,3,640,4,Family,2,8,51,859.0,Chicago,United States,Northern America,America,1,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",Douala,1,Cameroon,Nature & Wildlife Areas,1,4.0,13198,4.267085922109411
201077,9936,2015,11,2,1171,5,Couples,5,17,130,6117.0,Warsaw,Poland,Central Europe,Europe,3,91,Merapi Volcano,Yogyakarta,N'Djamena,2,Chad,Volcanos,4,4.75,2235,4.079194630872483
144555,6396,2018,10,2,369,5,Couples,5,17,125,5860.0,Flensburg,Germany,Central Europe,Europe,1,13,Kuta Beach - Bali,Kuta,Douala,1,Cameroon,Beaches,4,4.0,2765,3.415189873417721
